"","ESP_CAT_0_10","ESP_CAT_0_10_CEC","ESP_CAT_0_10_Cs","ESP_CAT_0_10_CUP","ESP_CAT_0_10_ERC","ESP_CAT_0_10_JXCAT","ESP_CAT_0_10_PPC","ESP_CAT_0_10_PSC","ESP_CAT_0_10_VOX","IDEOL_0_10","IDEOL_0_10_CEC","IDEOL_0_10_Cs","IDEOL_0_10_CUP","IDEOL_0_10_ERC","IDEOL_0_10_JXCAT","IDEOL_0_10_PPC","IDEOL_0_10_PSC","IDEOL_0_10_VOX","RISCOS","SIMPATIA_CEC_0_10","SIMPATIA_CONTRARIS_FEMINISME_0_10","SIMPATIA_Cs_0_10","SIMPATIA_CUP_0_10","SIMPATIA_DRETES_0_10","SIMPATIA_ERC_0_10","SIMPATIA_ESQUERRES_0_10","SIMPATIA_FEMINISTES_0_10","SIMPATIA_INDEPENDENTISTES_0_10","SIMPATIA_JXCAT_0_10","SIMPATIA_PP_0_10","SIMPATIA_PSC_0_10","SIMPATIA_UNIONISTES_0_10","SIMPATIA_VOTANTS_CEC_0_10","SIMPATIA_VOTANTS_Cs_0_10","SIMPATIA_VOTANTS_CUP_0_10","SIMPATIA_VOTANTS_ERC_0_10","SIMPATIA_VOTANTS_JXCAT_0_10","SIMPATIA_VOTANTS_PP_0_10","SIMPATIA_VOTANTS_PSC_0_10","SIMPATIA_VOTANTS_VOX_0_10","SIMPATIA_VOX_0_10","VAL_C_PUIGDEMONT","VAL_GOV_CAT","VAL_GOV_ESP","VAL_I_ARRIMADAS","VAL_O_JUNQUERAS","Clusters"
"265",7,8,0,9,8,8,1,3,0,0,4,10,1,3,8,8,6,10,7,5,0,0,9,2,8,10,5,8,1,0,0,5,5,2,8,5,3,3,4,0,0,1,3,3,1,7,"3"
"266",5,8,4,9,7,8,2,6,0,6,3,9,1,2,5,8,4,10,9,5,5,2,4,5,2,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,2,4,6,6,4,5,"2"
"267",3,7,5,8,10,9,3,5,0,5,2,5,2,1,5,6,5,7,8,2,2,6,0,3,2,3,3,2,2,5,5,8,5,5,5,5,5,5,5,5,5,0,2,2,6,6,"1"
"268",8,6,0,7,6,5,0,5,0,7,3,8,3,5,5,8,5,10,8,6,0,0,6,0,5,8,10,8,4,0,5,5,6,0,6,4,4,0,4,0,0,6,0,0,0,5,"3"
"269",9,5,0,8,7,8,0,6,0,5,4,8,5,4,5,8,4,10,5,0,5,0,1,5,1,5,5,5,1,0,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,"2"
"270",1,6,2,9,6,9,1,6,1,5,4,7,2,2,5,8,3,8,8,2,6,2,2,6,2,6,6,6,2,2,2,6,6,6,6,6,6,6,6,6,2,3,6,5,3,3,"2"
"271",10,7,1,10,9,10,0,6,0,5,6,9,0,4,3,9,6,10,7,5,1,1,8,3,7,8,7,10,10,0,5,1,6,1,8,9,10,1,5,0,0,10,4,4,1,5,"3"
"272",5,7,2,8,8,9,3,5,2,8,2,6,1,2,3,8,4,2,3,2,0,6,2,7,4,4,0,0,2,8,4,10,0,6,2,3,2,8,4,1,2,3,2,3,7,4,"1"
"273",0,10,2,9,7,8,3,6,0,10,3,8,0,1,2,9,5,10,10,0,8,5,0,8,3,2,0,0,0,5,0,10,0,4,0,4,0,7,4,9,7,0,0,2,5,5,"1"
"274",5,8,3,7,10,10,1,4,1,4,3,3,1,0,4,8,2,8,7,6,5,6,5,6,6,7,5,5,6,6,7,10,6,7,5,6,6,6,7,7,7,5,5,3,8,7,"2"
"275",8,4,1,5,6,7,0,4,0,4,5,10,5,4,3,10,7,10,5,4,3,0,4,2,4,5,5,5,5,3,4,2,4,1,5,5,5,2,3,0,0,6,5,4,0,6,"3"
"276",9,5,0,9,7,7,0,3,0,1,4,8,1,3,4,10,7,10,8,2,0,0,7,0,4,8,8,8,4,0,0,2,5,0,7,5,5,0,2,0,0,5,2,2,0,3,"3"
"277",6,5,1,8,8,6,2,3,0,5,3,9,0,3,6,8,6,10,0,6,0,0,2,3,10,8,10,10,7,0,5,3,7,0,2,8,7,2,6,0,0,6,7,6,0,6,"3"
"278",4,6,3,8,9,8,2,4,0,5,3,7,2,4,6,8,5,10,8,3,3,2,3,5,6,5,5,4,4,3,7,4,5,5,5,5,5,4,5,3,0,3,4,4,3,7,"2"
"279",10,5,0,10,10,9,0,5,0,2,4,10,5,1,2,10,7,10,0,5,0,0,5,0,10,10,10,10,8,0,2,0,5,0,5,10,8,0,5,0,0,8,10,0,0,8,"3"
"280",8,7,2,8,8,5,1,5,0,2,2,9,2,3,5,8,5,10,7,7,0,0,8,1,8,9,10,10,3,0,5,1,6,3,7,8,7,4,5,0,0,6,5,4,0,9,"3"
"281",5,2,0,0,5,2,0,2,0,0,7,10,8,7,7,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
"282",7,6,2,8,8,7,1,5,0,3,2,8,2,3,6,9,6,10,5,6,2,1,6,2,7,7,6,7,5,1,4,2,5,2,7,6,6,2,5,0,0,6,3,3,0,8,"3"
"283",9,8,0,9,9,9,0,1,0,3,3,9,1,2,2,10,8,10,8,5,0,2,7,3,6,6,10,6,6,1,4,3,8,0,8,8,8,1,5,0,0,5,6,5,2,4,"3"
"284",10,5,0,7,10,10,0,0,0,5,3,7,2,1,1,7,4,10,7,3,2,0,4,2,7,10,5,10,8,0,3,0,2,5,3,10,10,1,5,0,0,10,5,0,0,10,"3"
"285",8,5,1,8,7,9,2,4,0,2,3,6,1,3,4,9,3,10,6,3,1,0,6,1,5,7,6,7,6,0,2,5,4,1,9,7,8,3,3,1,0,8,4,1,1,6,"3"
"286",5,8,7,10,6,8,2,2,1,7,5,5,3,3,5,8,5,10,7,5,5,5,0,1,4,2,2,4,5,2,5,2,5,2,1,3,5,1,5,1,1,5,5,5,1,4,"2"
"287",5,8,1,8,8,8,1,8,0,4,5,9,5,6,9,9,4,10,6,4,2,0,0,2,0,6,8,4,0,1,8,5,5,5,5,5,5,5,5,5,0,0,1,5,0,0,"2"
"288",5,8,7,7,10,10,0,9,0,3,4,4,2,0,1,10,3,10,10,0,3,0,0,3,0,5,5,3,0,0,0,3,4,3,2,2,4,0,4,0,0,4,0,0,6,6,"1"
"289",10,5,0,4,10,5,0,7,0,10,5,0,5,10,4,0,8,0,10,0,0,0,7,8,10,10,5,10,3,0,6,0,7,0,7,10,7,0,9,0,0,4,0,6,0,10,"2"
"290",0,10,5,10,10,10,5,6,5,5,0,5,0,0,0,5,0,6,10,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
"291",5,5,10,10,6,5,0,0,0,0,8,5,0,8,5,0,10,10,5,10,10,0,0,0,5,10,10,5,5,0,10,10,8,0,0,8,8,0,8,0,0,0,5,9,0,10,"2"
"292",5,6,1,10,10,8,2,5,0,3,3,7,0,2,8,6,5,10,7,7,0,0,0,4,7,7,10,5,5,0,7,5,7,5,6,7,5,5,7,3,0,5,6,6,0,8,"2"
"293",5,6,3,9,9,9,3,6,1,4,3,6,2,2,2,7,4,9,6,5,3,3,2,5,2,5,6,4,2,5,6,4,5,5,5,5,5,5,5,3,2,2,4,5,3,2,"2"
"294",0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
"295",4,4,2,9,9,9,0,3,0,6,5,8,2,5,8,9,6,10,8,8,7,2,3,4,8,7,5,4,4,2,6,7,8,3,3,8,2,3,7,1,3,2,4,4,2,8,"2"
"296",7,3,0,8,5,3,0,1,0,3,4,8,4,6,7,8,8,10,8,7,5,0,7,5,4,8,4,8,3,0,3,5,8,2,8,6,6,2,2,2,0,7,4,1,4,6,"3"
"297",8,5,0,9,9,9,0,2,0,2,4,10,0,6,8,10,8,10,8,4,0,0,8,0,5,8,8,7,5,0,2,0,7,0,8,8,8,0,5,0,0,8,5,2,0,8,"3"
"298",8,4,0,9,8,7,1,2,0,7,5,10,2,3,4,10,8,10,5,4,0,0,8,2,6,8,8,10,8,0,3,2,5,0,9,8,8,0,5,0,0,8,6,3,0,7,"3"
"299",10,5,0,10,5,9,0,1,0,5,3,10,1,5,7,10,8,10,1,0,0,0,6,5,5,5,7,10,8,0,0,0,5,0,8,5,8,0,5,0,0,10,5,1,0,5,"3"
"300",4,4,0,10,5,10,0,4,0,5,0,2,4,6,6,10,5,10,8,0,0,0,7,0,8,10,10,6,9,0,7,10,10,10,10,10,10,0,10,0,0,5,4,8,0,8,"3"
"301",8,5,9,2,0,5,10,2,0,8,5,0,5,8,8,0,8,0,5,8,0,0,5,0,8,10,8,10,8,5,8,5,8,2,8,10,8,5,8,0,0,10,5,5,2,10,"2"
"302",4,6,8,7,10,7,1,5,1,8,3,3,4,1,4,10,5,10,7,6,5,5,5,1,7,7,5,6,6,1,7,6,5,5,6,6,5,3,5,1,0,1,6,6,5,3,"2"
"303",9,5,2,10,10,10,1,5,0,4,3,8,1,4,6,9,5,10,9,8,2,0,6,5,8,8,8,8,8,4,6,2,8,1,8,8,8,4,7,1,0,6,3,2,2,6,"3"
"304",8,5,3,10,5,5,0,3,0,5,3,8,2,4,7,10,5,10,5,4,0,0,0,4,4,4,6,7,8,0,3,0,4,0,4,6,7,0,4,0,0,7,5,5,0,7,"3"
"305",6,5,2,10,6,6,1,2,1,6,4,8,2,4,6,9,4,9,10,5,0,3,1,5,7,7,8,5,5,2,5,7,5,3,3,5,5,5,5,0,0,6,5,5,4,6,"2"
"306",10,8,5,10,10,10,5,5,0,5,5,5,2,5,5,5,5,10,5,10,0,1,10,5,10,10,10,10,10,1,10,3,5,5,5,5,5,5,5,0,0,7,10,10,0,7,"2"
"307",5,6,3,10,10,9,1,7,0,7,2,6,2,3,6,7,4,9,7,6,4,4,5,5,6,5,5,7,5,4,5,5,5,5,5,5,5,5,5,2,1,5,5,6,5,5,"2"
"308",5,6,0,10,10,10,0,3,0,2,2,10,0,5,10,10,7,10,5,8,0,0,8,3,5,7,6,7,0,0,5,5,8,2,8,5,3,2,5,0,0,1,4,4,2,8,"3"
"309",5,7,4,7,5,6,5,4,4,5,3,6,3,5,4,7,6,6,5,0,0,7,0,8,5,5,7,4,5,8,6,10,0,7,0,7,5,9,5,7,7,5,5,5,5,5,"1"
"310",10,2,0,9,7,10,0,1,0,4,2,10,1,5,3,10,9,10,5,6,0,0,6,0,7,8,8,10,10,0,5,0,5,0,5,5,10,5,4,1,0,10,2,2,0,10,"3"
"311",5,4,8,3,2,3,8,7,10,0,3,8,3,4,5,9,5,10,8,6,5,0,8,3,3,8,6,5,2,0,6,5,6,2,7,5,0,4,6,0,0,0,3,3,0,0,"2"
"312",7,4,1,10,10,10,0,2,0,3,3,7,1,2,8,9,4,10,3,6,3,2,2,0,2,8,9,3,2,0,4,2,9,3,4,7,2,2,8,0,0,0,5,6,3,8,"2"
"313",3,10,3,10,10,10,1,5,1,8,3,8,0,0,4,8,6,8,5,6,4,8,0,10,0,6,4,4,7,10,8,10,2,7,0,0,4,9,6,10,10,0,3,4,7,0,"1"
"314",5,5,5,6,6,9,0,6,0,3,0,2,3,3,2,8,5,10,7,4,3,5,5,2,6,5,5,5,3,2,6,5,3,3,5,3,4,0,7,0,0,4,6,6,4,5,"2"
"315",10,5,0,10,5,6,0,2,0,3,5,10,2,5,6,10,8,10,5,0,0,0,10,0,6,10,10,10,8,0,0,5,5,0,10,8,6,0,0,0,0,10,5,0,0,8,"3"
"316",5,5,0,10,10,10,0,4,0,3,0,9,0,4,8,10,5,10,7,8,0,0,7,0,7,5,8,4,7,0,8,4,8,0,8,8,7,3,6,0,0,8,7,6,0,8,"3"
"317",10,5,0,10,8,7,0,4,0,3,4,10,0,4,5,10,7,10,0,6,0,0,9,7,10,7,7,7,6,0,4,5,5,0,6,6,6,5,5,0,0,6,8,4,0,6,"3"
"318",10,4,1,10,8,8,1,6,0,3,3,8,1,2,3,8,5,10,7,7,0,3,6,4,8,8,10,8,8,5,6,2,4,2,5,8,6,2,3,0,0,6,5,4,3,6,"3"
"319",10,7,0,5,7,7,5,5,5,5,5,5,0,2,5,5,5,7,10,5,5,2,0,5,8,5,0,5,8,5,2,5,5,5,5,5,5,5,5,5,6,5,5,1,0,10,"2"
"320",8,6,0,9,8,6,0,3,0,3,4,9,1,2,5,10,8,10,4,5,0,0,7,0,7,10,10,10,6,0,3,0,7,0,8,10,7,0,2,0,0,5,4,2,0,8,"3"
"321",10,3,0,10,10,10,0,2,0,7,4,9,1,3,6,9,6,10,4,3,2,0,5,6,6,6,6,8,9,0,2,2,3,0,5,6,7,0,3,0,0,8,6,4,0,4,"3"
"322",5,5,0,9,9,6,1,4,0,5,4,10,1,3,8,9,5,10,6,6,2,3,4,6,7,7,6,6,4,4,7,6,6,4,5,6,6,4,6,0,0,3,5,6,3,6,"2"
"323",5,7,1,10,7,6,2,4,0,3,4,9,0,2,1,7,6,10,10,3,3,0,4,5,8,5,6,5,4,3,3,5,5,5,5,5,5,5,5,4,0,0,0,0,0,4,"2"
"324",8,5,1,5,10,8,1,3,0,4,3,9,1,5,8,7,4,10,5,5,3,3,6,3,8,7,6,8,5,4,6,2,7,2,6,9,6,3,7,0,0,6,7,6,2,8,"3"
"325",2,1,5,10,10,10,2,2,0,6,3,6,3,2,5,7,5,10,9,4,0,7,0,5,0,5,10,0,0,8,7,10,2,9,0,0,0,7,5,0,0,0,0,4,9,0,"1"
"326",7,0,0,10,6,9,0,0,0,5,0,10,1,2,2,10,8,10,8,4,0,0,7,3,1,7,6,7,7,0,3,0,4,0,7,2,8,0,0,0,0,7,1,1,0,6,"3"
"327",5,4,5,9,9,9,3,5,1,6,3,6,2,5,3,6,6,9,5,2,5,2,1,5,3,5,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,"1"
"328",5,9,3,8,9,7,3,5,0,7,0,8,2,0,5,7,5,10,7,2,5,7,2,10,4,5,10,5,4,8,2,10,2,8,2,5,3,8,5,2,2,0,4,4,6,5,"1"
"329",6,7,1,7,9,9,1,6,0,5,2,9,0,2,5,8,4,10,7,4,0,0,2,2,6,8,7,8,4,0,4,4,6,2,4,9,6,4,5,0,0,6,6,6,4,8,"3"
"330",7,6,2,10,9,9,1,3,0,3,2,7,1,3,6,7,4,8,3,7,4,4,5,4,7,7,7,7,7,4,7,4,7,5,6,7,7,5,7,2,2,6,6,6,2,7,"2"
"331",8,8,0,9,10,8,0,5,0,2,2,9,1,2,6,9,5,10,7,7,2,0,9,2,8,10,10,10,6,0,5,8,7,0,10,9,7,0,7,0,0,7,6,5,2,8,"3"
"332",3,6,8,5,6,5,2,9,0,1,6,3,7,1,7,5,1,10,6,3,1,5,5,2,5,9,9,2,3,3,9,3,4,8,1,1,1,5,10,1,0,5,6,6,10,5,"2"
"333",6,5,0,7,7,7,1,5,0,4,5,10,2,4,5,9,5,10,6,5,0,0,3,4,10,10,8,8,5,0,5,3,7,0,5,10,8,3,5,0,0,8,8,5,0,10,"3"
"334",3,6,3,8,9,7,2,6,0,4,0,7,1,1,2,8,4,10,7,5,0,6,6,6,3,5,7,3,2,5,7,7,2,5,4,4,3,4,7,3,0,0,6,8,6,8,"2"
"335",5,4,2,10,10,9,1,5,0,5,4,7,0,0,2,9,5,10,5,0,2,0,0,5,0,5,5,5,0,0,8,5,5,5,5,5,5,5,5,5,0,0,5,5,1,0,"2"
"336",5,7,1,10,10,9,3,6,0,3,3,8,1,1,5,7,3,10,7,6,5,0,2,1,3,9,7,7,5,0,2,5,10,0,5,6,5,0,5,0,0,3,5,3,0,3,"3"
"337",5,10,0,10,10,10,0,4,0,5,9,9,8,10,9,10,8,10,0,0,5,0,0,5,0,5,5,5,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,"2"
"338",10,5,0,7,7,8,1,3,0,3,3,8,1,5,6,9,5,10,7,4,1,0,7,4,5,7,8,7,4,1,2,3,4,1,7,6,4,1,4,0,0,5,4,3,0,4,"3"
"339",10,3,0,7,4,10,2,2,0,4,4,10,0,5,7,3,4,10,5,3,0,0,2,6,6,7,9,10,10,0,2,5,4,0,6,6,10,3,3,0,0,10,4,3,0,7,"3"
"340",9,5,1,10,6,9,0,2,0,3,2,9,1,3,3,10,7,10,6,2,0,0,2,0,3,7,7,9,2,0,0,0,3,0,3,3,2,0,0,0,0,3,3,3,0,3,"3"
"341",3,7,2,7,9,7,1,2,0,7,5,7,4,2,2,7,5,9,9,5,4,7,5,7,5,5,6,6,5,8,5,9,5,6,4,5,5,8,4,7,7,1,5,5,7,6,"1"
"342",5,8,2,5,9,10,2,5,0,9,2,9,3,4,4,8,4,10,5,6,0,0,0,0,4,8,10,8,3,0,8,5,5,3,4,5,5,3,8,0,0,5,7,6,3,3,"2"
"343",5,5,0,10,10,10,0,2,0,3,2,8,1,3,9,6,5,10,10,7,0,2,6,6,6,7,7,5,2,5,6,4,7,3,5,7,5,5,6,1,0,2,4,5,2,5,"2"
"344",5,8,5,8,7,7,4,6,3,6,2,5,2,3,3,6,4,7,7,2,2,6,2,5,4,5,5,3,3,8,4,7,4,6,4,4,4,6,5,5,4,2,3,3,5,4,"1"
"345",3,8,4,10,8,9,5,7,3,7,2,5,0,3,6,5,3,8,6,3,8,4,0,7,0,2,4,1,0,4,2,7,0,4,0,0,0,4,2,7,8,0,0,2,3,1,"1"
"346",9,7,0,10,10,7,0,5,0,4,3,10,3,3,7,10,5,10,8,6,0,0,8,2,10,10,10,8,7,0,5,5,7,0,9,10,7,0,6,0,0,5,7,5,0,10,"3"
"347",10,3,2,6,6,5,0,5,0,3,4,8,2,4,7,9,6,10,8,3,2,1,6,3,9,7,9,8,7,2,4,3,3,2,7,7,6,3,3,0,0,6,8,6,2,7,"3"
"348",2,10,1,10,7,7,2,2,0,5,6,5,0,5,6,9,10,10,4,0,3,0,0,2,5,8,0,7,3,0,7,5,2,0,0,9,9,0,9,0,0,9,8,7,2,9,"2"
"349",6,7,1,10,8,7,2,5,0,5,3,10,0,4,5,10,4,10,6,4,2,0,0,3,4,5,4,4,4,0,4,3,4,2,1,5,5,4,5,0,0,4,5,5,0,4,"2"
"350",10,5,0,5,5,5,0,0,0,5,3,10,3,3,8,10,9,10,0,0,0,0,2,0,1,7,7,7,3,0,0,0,1,0,2,2,3,0,0,0,0,3,2,0,0,0,"3"
"351",9,5,0,10,7,6,0,3,0,6,3,8,2,4,6,8,6,10,3,6,0,0,8,5,6,6,10,10,5,0,5,0,6,0,8,8,7,0,2,0,0,5,7,5,0,7,"3"
"352",9,7,3,10,9,8,2,5,0,3,2,9,1,4,6,9,5,10,7,6,0,0,9,1,8,9,8,7,7,0,6,5,5,4,5,5,5,5,5,1,0,7,5,7,1,2,"3"
"353",8,5,0,8,8,7,0,4,0,2,4,8,2,6,8,8,7,10,8,6,0,0,8,6,2,10,10,9,0,0,2,6,8,0,10,6,4,0,5,0,0,4,2,2,0,5,"3"
"354",7,7,0,9,9,6,2,5,0,4,3,10,1,4,8,9,6,10,5,8,0,0,5,1,7,8,9,7,3,3,5,2,9,0,5,7,3,2,5,0,0,2,6,7,0,8,"3"
"355",6,4,2,10,10,9,0,2,0,3,4,8,0,2,6,9,6,10,4,9,2,0,7,3,7,5,7,4,5,0,5,5,7,3,5,5,3,0,5,0,0,3,5,5,1,4,"3"
"356",10,4,0,10,9,7,0,5,0,1,5,9,0,1,7,10,5,10,7,2,5,0,5,0,8,7,7,6,7,0,0,0,5,5,5,5,5,5,5,5,0,8,5,5,0,8,"3"
"357",10,6,0,10,10,10,0,3,0,2,3,9,0,3,3,9,6,10,6,6,0,0,7,0,7,10,10,10,7,0,4,5,7,0,8,7,7,0,5,0,0,8,4,4,0,8,"3"
"358",9,7,0,7,8,8,0,5,0,2,6,10,5,4,4,10,6,10,7,3,0,0,5,0,6,10,10,10,5,0,4,0,4,0,5,6,4,0,4,0,0,5,4,4,0,5,"3"
"359",9,6,8,9,9,9,2,5,1,3,5,9,2,3,3,8,6,10,7,5,2,0,6,3,7,7,9,7,7,0,4,4,6,3,6,7,7,5,5,2,0,8,6,6,3,7,"3"
"360",7,5,0,8,5,7,0,4,0,3,5,10,3,4,5,10,6,10,0,4,1,0,5,0,5,5,10,5,5,0,4,2,4,0,5,5,5,2,5,0,0,8,4,4,0,5,"3"
"361",4,3,2,10,8,10,0,4,0,5,6,8,0,3,0,10,7,10,8,7,5,0,7,5,6,5,6,7,5,1,6,3,6,3,7,7,7,2,8,1,0,3,6,5,3,5,"3"
"362",10,8,9,9,8,9,0,0,0,6,4,10,4,6,6,8,7,10,7,0,3,0,1,0,4,5,9,10,10,1,0,3,5,5,5,5,10,5,5,5,0,10,6,0,0,5,"3"
"363",7,7,2,10,10,10,1,5,0,2,2,8,2,3,8,9,5,10,6,8,0,0,6,3,6,9,9,7,2,0,5,0,9,4,7,7,5,4,7,2,0,4,5,5,0,6,"3"
